Sample,Output_Q31,Output_Float
248,1764,0.0000008
249,-228,-0.0000001
250,-2013,-0.0000009
251,-1799,-0.0000008
252,220,0.0000001
253,2038,0.0000009
254,1831,0.0000009
255,-215,-0.0000001
256,-2068,-0.0000010
257,-1868,-0.0000009
258,205,0.0000001
259,2093,0.0000010
260,1901,0.0000009
261,-199,-0.0000001
262,-2120,-0.0000010
263,-1936,-0.0000009
264,187,0.0000001
265,2141,0.0000010
266,1968,0.0000009
267,-178,-0.0000001
268,-2166,-0.0000010
269,-2004,-0.0000009
270,165,0.0000001
271,2187,0.0000010
272,2036,0.0000009
273,-156,-0.0000001
274,-2212,-0.0000010
275,-2072,-0.0000010
276,143,0.0000001
277,2233,0.0000010
278,2105,0.0000010
279,-133,-0.0000001
280,-2258,-0.0000011
281,-2141,-0.0000010
282,119,0.0000001
283,2277,0.0000011
284,2172,0.0000010
285,-109,-0.0000001
286,-2300,-0.0000011
287,-2207,-0.0000010
288,95,0.0000000
289,2319,0.0000011
290,2238,0.0000010
291,-85,-0.0000000
292,-2342,-0.0000011
293,-2273,-0.0000011
294,71,0.0000000
295,2361,0.0000011
296,2304,0.0000011
297,-61,-0.0000000
298,-2383,-0.0000011
299,-2338,-0.0000011
300,45,0.0000000
301,2399,0.0000011
302,2370,0.0000011
303,-31,-0.0000000
304,-2420,-0.0000011
305,-2406,-0.0000011
306,14,0.0000000
307,2436,0.0000011
308,2437,0.0000011
309,-1,-0.0000000
310,-2457,-0.0000011
311,-2473,-0.0000012
312,-14,-0.0000000
313,2475,0.0000012
314,2505,0.0000012
315,26,0.0000000
316,-2496,-0.0000012
317,-2540,-0.0000012
318,-43,-0.0000000
319,2512,0.0000012
320,2571,0.0000012
321,56,0.0000000
322,-2532,-0.0000012
323,-2606,-0.0000012
324,-73,-0.0000000
325,2548,0.0000012
326,2636,0.0000012
327,85,0.0000000
328,-2567,-0.0000012
329,-2669,-0.0000012
330,-101,-0.0000000
331,2582,0.0000012
332,2699,0.0000013
333,114,0.0000001
334,-2601,-0.0000012
335,-2733,-0.0000013
336,-133,-0.0000001
337,2614,0.0000012
338,2764,0.0000013
339,149,0.0000001
340,-2631,-0.0000012
341,-2799,-0.0000013
342,-169,-0.0000001
343,2644,0.0000012
344,2829,0.0000013
345,184,0.0000001
346,-2660,-0.0000012
347,-2862,-0.0000013
348,-203,-0.0000001
349,2672,0.0000012
350,2891,0.0000013
351,218,0.0000001
352,-2688,-0.0000013
353,-2924,-0.0000014
354,-237,-0.0000001
355,2700,0.0000013
356,2953,0.0000014
357,252,0.0000001
358,-2715,-0.0000013
359,-2985,-0.0000014
360,-272,-0.0000001
361,2725,0.0000013
362,3013,0.0000014
363,288,0.0000001
364,-2739,-0.0000013
365,-3045,-0.0000014
366,-308,-0.0000001
367,2749,0.0000013
368,3073,0.0000014
369,325,0.0000002
370,-2762,-0.0000013
371,-3106,-0.0000014
372,-347,-0.0000002
373,2771,0.0000013
374,3135,0.0000015
375,365,0.0000002
376,-2784,-0.0000013
377,-3168,-0.0000015
378,-387,-0.0000002
379,2793,0.0000013
380,3197,0.0000015
381,405,0.0000002
382,-2805,-0.0000013
383,-3229,-0.0000015
384,-428,-0.0000002
385,2812,0.0000013
386,3256,0.0000015
387,446,0.0000002
388,-2821,-0.0000013
389,-3285,-0.0000015
390,-469,-0.0000002
391,2825,0.0000013
392,3310,0.0000015
393,488,0.0000002
394,-2833,-0.0000013
395,-3339,-0.0000016
396,-511,-0.0000002
397,2837,0.0000013
398,3364,0.0000016
399,530,0.0000002
400,-2845,-0.0000013
401,-3393,-0.0000016
402,-553,-0.0000003
403,2849,0.0000013
404,3418,0.0000016
405,572,0.0000003
406,-2857,-0.0000013
407,-3446,-0.0000016
408,-594,-0.0000003
409,2859,0.0000013
410,3469,0.0000016
411,614,0.0000003
412,-2865,-0.0000013
413,-3497,-0.0000016
414,-638,-0.0000003
415,2867,0.0000013
416,3521,0.0000016
417,658,0.0000003
418,-2873,-0.0000013
419,-3549,-0.0000017
420,-682,-0.0000003
421,2875,0.0000013
422,3573,0.0000017
423,702,0.0000003
424,-2881,-0.0000013
425,-3601,-0.0000017
426,-726,-0.0000003
427,2883,0.0000013
428,3624,0.0000017
429,745,0.0000003
430,-2888,-0.0000013
431,-3650,-0.0000017
432,-769,-0.0000004
433,2888,0.0000013
434,3673,0.0000017
435,790,0.0000004
436,-2892,-0.0000013
437,-3700,-0.0000017
438,-815,-0.0000004
439,2892,0.0000013
440,3723,0.0000017
441,836,0.0000004
442,-2896,-0.0000013
443,-3750,-0.0000017
444,-861,-0.0000004
445,2895,0.0000013
446,3772,0.0000018
447,883,0.0000004
448,-2897,-0.0000013
449,-3797,-0.0000018
450,-908,-0.0000004
451,2894,0.0000013
452,3817,0.0000018
453,928,0.0000004
454,-2895,-0.0000013
455,-3839,-0.0000018
456,-952,-0.0000004
457,2891,0.0000013
458,3857,0.0000018
459,972,0.0000005
460,-2891,-0.0000013
461,-3879,-0.0000018
462,-996,-0.0000005
463,2887,0.0000013
464,3897,0.0000018
465,1017,0.0000005
466,-2886,-0.0000013
467,-3920,-0.0000018
468,-1043,-0.0000005
